question,option1,option2,option3,option4,answer
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là tìm đến những vùng đất giàu tiềm năng nhưng chưa được khai thác đúng tầm, làm thay đổi những vùng đất ấy, kiến tạo và đóng góp cho xã hội những công trình, sản phẩm/dịch vụ thế nào?",Đẳng cấp chất lượng vượt trội và trường tồn theo thời gian.,Ghi dấu ấn vượt thời gian.,Chất lượng vượt trội.,"Đẳng cấp, chất lượng, khác biệt.",1
"Trong nội dung Đối với tập thể Người Sun Group, Người Sun Group xác định điều gì để theo đó, mỗi cá nhân phấn đấu học hỏi và nâng cấp bản thân, phấn đấu trở thành Đại sứ Văn hóa Sun Group, khẳng định tình yêu với Tập đoàn và niềm tự hào khi là thành viên của tập thể Sun Group, tập thể với lý tưởng cao đẹp đang góp phần xây dựng hình ảnh Người Việt Nam mới trong lao động, đóng góp cho sự phát triển của đất nước?",Phấn đấu trở thành “Hiền tài” thay vì “Người tài”.,Sun Group không giữ người bằng tiền và không đón nhận những người đến với Tập đoàn chỉ vì tiền.,"Không có công việc tầm thường, chỉ có con người tầm thường.",Sun Group là tập thể của những người con yêu nước.,4
"“Văn hóa Sun Group đã, đang và sẽ tiếp tục được bổ sung các tiêu chí văn hóa hiện đại, nhằm đảm bảo sự hội nhập của Sun Group cũng như Người Sun Group với môi trường phát triển năng động, văn minh và hiện đại của thế giới.” Đây là nội dung của yếu tố văn hóa nào của Sun Group?",Hội nhập,Lan tỏa,Kế thừa,Bản sắc,1
"Hiền tài của Sun Group là những người hiểu được trách nhiệm và sự đóng góp của bản thân đối với sự thành công và lớn mạnh của Sun Group. Do đó, họ chủ động học hỏi, nỗ lực hoàn thiện bản thân và luôn xem sự trưởng thành liên tục của bản thân là yếu tố nền tảng và thước đo cho sự bền vững của tập thể, của Sun Group, của cộng đồng và của đất nước Việt Nam. Đây là nội dung nào trong Triết lý về Người Sun Group?",Nhiệt tâm,Hiền,Tài,Làm gương và lan tỏa,3
Nội dung nào sau đây thể hiện Ý thức vì cộng đồng của Người Sun Group trong thời kì mới?,"Tìm hiểu, lựa chọn thưởng thức nhằm nâng cao khả năng cảm thụ về các loại hình nghệ thuật.","Tư duy phát triển bền vững, hội nhập quốc tế, gìn giữ tài nguyên, môi trường sống.","Có khả năng lan tỏa, truyền cảm hứng và gắn kết sức mạnh của đội ngũ.","Có tinh thần yêu nước, tự hào chia sẻ và hành động để gìn giữ những truyền thống của dân tộc Việt Nam.",2
Yêu cầu về Phẩm chất (Nhân cách - Đạo đức) của Người Sun Group trong thời kì mới bao gồm những yếu tố nào?,Yêu nước - Khiêm nhường - Tư duy hội nhập - Lối sống lành mạnh,Yêu nước - Lý tưởng - Khiêm nhường - Nhân cách tốt,Lý tưởng - Nhân cách tốt - Năng suất lao động - Thể chất khỏe mạnh,Đạo đức tốt - Nhân cách tốt - Yêu nước - Ý thức vì cộng đồng,2
"Nội dung sau đây thể hiện giá trị cốt lõi nào đối với Người Sun Group: ""Sẵn sàng tự phê và phê những khuyết điểm của bản thân và người khác một cách trực diện để cùng trưởng thành""?",Trình độ chuyên môn cao.,Không thể hiện giá trị cốt lõi nào đối với Người Sun Group.,Trung thành và trung thực.,Nhiệt tâm.,1
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là ""Góp phần nâng cao vị thế đất nước, nâng cao ..., làm đẹp, làm giàu cho Tổ Quốc và đưa Việt Nam trở thành điểm đến hấp dẫn của thế giới."". Từ còn thiếu trong dấu ba chấm là gì?",Vị thế của người Việt Nam,Chất lượng sống của người dân,Trí tuệ người Việt Nam,Sức khỏe người Việt Nam,2
"Người Sun Group không tự mãn với những thành công đã đạt được mà luôn khao khát phá vỡ những kỷ lục của chính mình, luôn đảm bảo chất lượng, đẳng cấp, khác biệt và tính nhân văn trong mọi việc, công trình sau tốt hơn công trình trước; Đây là nội dung thể hiện yếu tố nào trong Triết lý xây dựng và phát triển văn hóa của Sun Group?",Bản sắc,Kế thừa,Lan tỏa,Hội nhập,1
Triết lý nào sau đây nằm trong Triết lý về Người Sun Group?,"Sun Group xây dựng môi trường làm việc áp lực, đòi hỏi cao để giúp CBNV nâng cao năng lực của mình.","Sun Group sẽ chỉ chú trọng tập hợp về mình những ""Người tài"".",Sun Group sẵn sàng đón nhận những người đến với Tập đoàn chỉ vì tiền và giữ người bằng tiền.,"Sun Group sẽ tập hợp về mình những ""Hiền tài"" thay vì ""Người tài"".",4
Chất lượng - Đẳng cấp - Khác biệt thể hiện nội dung gì trong Tư tưởng - Văn hóa Sun Group?,Giá trị cốt lõi đối với Tập đoàn Sun Group.,Sứ mệnh Sun Group.,Tầm nhìn Sun Group.,Lý tưởng Sun Group.,1
Yêu cầu về Sức khỏe (Thể chất – Tinh thần) của Người Sun Group trong thời kì mới bao gồm những yếu tố nào?,Thể chất khỏe mạnh - Tinh thần khỏe mạnh - Lối sống lành mạnh.,Sức khỏe tốt - Tinh thần tốt - Lối sống tốt.,Thể chất khỏe mạnh - Tinh thần khỏe mạnh - Năng suất lao động cao.,Ý thức tốt - Nhân cách tốt - Tinh thần tốt.,1
"Với yêu cầu về Người Sun Group trong thời kỳ mới, Người Sun Group hướng tới có năng suất lao động như thế nào?",Một người làm việc bằng hai so với hiện tại.,"Có năng suất lao động ngang với Nhật Bản, Hàn Quốc.","Có năng suất lao động cao, ngang bằng nước tiên tiến nhất trong khu vực Đông Nam Á.",Đa năng đa nhiệm.,3
Nội dung nào sau đây thể hiện Lý tưởng Sun Group?,Lý tưởng của Sun Group là trở thành một trong những Tập đoàn kinh tế tư nhân Việt Nam có quy mô và đẳng cấp quốc tế.,"Lý tưởng của Sun Group là tìm đến những vùng đất giàu tiềm năng nhưng chưa được khai thác đúng tầm, làm thay đổi những vùng đất ấy, kiến tạo và đóng góp cho xã hội những công trình, sản phẩm/dịch vụ có đẳng cấp chất lượng vượt trội, trường tồn theo thời gian.","Lý tưởng của Sun Group là góp phần nâng cao vị thế đất nước, nâng cao chất lượng sống của người dân, làm đẹp, làm giàu cho Tổ Quốc, đưa Việt Nam trở thành điểm đến hấp dẫn của thế giới.","Lý tưởng của Sun Group là cùng chung một con thuyền, cùng người cầm lái đưa Sun Group tới những bến bờ vinh quang bằng những công trình ghi dấu ấn vượt thời gian.",4
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là góp phần xây dựng người Việt Nam mới với những đặc điểm gì?","Văn minh, chuyên nghiệp, nhân văn","Trung thành, trung thực, nhiệt tâm","Yêu nước, kỷ luật, giỏi chuyên môn","Phẩm chất, năng lực và sức khỏe bắt kịp thời cuộc",4
"Nội dung sau đây thể hiện giá trị cốt lõi nào đối với Tập đoàn Sun Group: ""Phát triển hướng tới những thế hệ mai sau, nuôi dưỡng và gìn giữ môi trường sống ổn định, xanh, sạch và văn minh""?",Đẳng cấp,Không thể hiện giá trị cốt lõi nào đối với Tập đoàn,Chất lượng,Khác biệt,3
"Nội dung sau đây thể hiện giá trị cốt lõi nào đối với Người Sun Group: ""Tuân thủ mọi chuẩn mực của Tập đoàn và hoàn thành mọi nhiệm vụ được giao đúng chất lượng và tiến độ cam kết.""?",Trình độ chuyên môn cao.,Nhiệt tâm.,Không thể hiện giá trị cốt lõi nào đối với Người Sun Group.,Trung thành và trung thực.,4
"Trong nội dung Đối với tập thể Người Sun Group có nêu rõ Người Sun Group dù đang ở bất cứ vị trí nào, thực hiện bất cứ công việc nào cũng sẽ luôn nỗ lực hết mình để hoàn thành xuất sắc vai trò, nhiệm vụ của mình. Bởi lẽ, Người Sun Group luôn cho rằng “…..........”; thành công chung của Tập đoàn được đóng góp từ tất cả các cá nhân ở mọi vị trí."" Câu còn thiếu trong dấu ba chấm là gì?",Hạnh phúc của Người Sun Group là trên những chặng đường cống hiến chứ không chỉ là đích đến.,Sun Group là tập thể của những người con yêu nước.,Thành công của đồng nghiệp cũng là thành công của bản thân mình và là thành công chung của cả Tập đoàn.,"Không có công việc tầm thường, chỉ có con người tầm thường.",4
"Hiền tài của Sun Group là những người hiểu được trách nhiệm và sự đóng góp của bản thân đối với sự thành công và lớn mạnh của Sun Group. Do đó, họ chủ động học hỏi, nỗ lực hoàn thiện bản thân và luôn xem sự trưởng thành liên tục của bản thân là yếu tố nền tảng và thước đo cho sự bền vững của tập thể, của Sun Group, của cộng đồng và của đất nước Việt Nam. Đây là nội dung nào trong Triết lý về Người Sun Group?",Tài,Làm gương và lan tỏa,Nhiệt tâm,Hiền,1
Nội dung nào sau đây KHÔNG thể hiện sứ mệnh Sun Group?,"Góp phần nâng cao vị thế đất nước, nâng cao chất lượng sống của người dân, làm đẹp, làm giàu cho Tổ quốc và đưa Việt Nam trở thành điểm đến hấp dẫn của thế giới.","Tìm đến những vùng đất giàu tiềm năng nhưng chưa được khai thác đúng tầm, làm thay đổi những vùng đất ấy, kiến tạo và đóng góp cho xã hội những công trình, sản phẩm/dịch vụ có đẳng cấp chất lượng vượt trội, trường tồn theo thời gian.","Tiên phong trong việc xây dựng văn hóa du lịch: văn minh, chuyên nghiệp và nhân văn ở Việt Nam.","Góp phần xây dựng Người Việt Nam mới với phẩm chất, năng lực và sức khỏe bắt kịp thời cuộc.",3
"Thấm nhuần triết lý “Hạt giống tốt chỉ nảy mầm và phát triển khi có môi trường thuận lợi”, Sun Group hướng tới xây dựng Môi trường làm việc như thế nào?",Môi trường làm việc Văn hóa – Nhân văn song hành với Trách nhiệm – Kỷ luật,"Môi trường làm việc văn hóa - nhân văn song hành cùng trung thành, gắn bó",Môi trường làm việc đề cao sáng tạo và linh hoạt,Môi trường làm việc áp lực và hiệu quả cao,1
"Người Sun Group không tự mãn với những thành công đã đạt được mà luôn khao khát phá vỡ những kỷ lục của chính mình, luôn đảm bảo chất lượng, đẳng cấp, khác biệt và tính nhân văn trong mọi việc, công trình sau tốt hơn công trình trước; Đây là nội dung thể hiện yếu tố nào trong Triết lý xây dựng và phát triển văn hóa của Sun Group?",Bản sắc,Hội nhập,Lan tỏa,Kế thừa,1
"Hiền tài của Sun Group là những người hiểu được trách nhiệm và sự đóng góp của bản thân đối với sự thành công và lớn mạnh của Sun Group. Do đó, họ chủ động học hỏi, nỗ lực hoàn thiện bản thân và luôn xem sự trưởng thành liên tục của bản thân là yếu tố nền tảng và thước đo cho sự bền vững của tập thể, của Sun Group, của cộng đồng và của đất nước Việt Nam. Đây là nội dung nào trong Triết lý về Người Sun Group?",Nhiệt tâm,Làm gương và lan tỏa,Tài,Hiền,3
"Nội dung sau đây thể hiện yếu tố nào trong Năng lực của Người Sun Group trong thời kì mới? ""Thích nghi, nắm bắt rõ văn hóa quốc gia, vùng miền, tổ chức để gia tăng cơ hội hội nhập; Thông hiểu và thuần thục ít nhất một ngoại ngữ thông dụng để nâng cao khả năng hội nhập.""",Năng suất lao động.,Cảm thụ nghệ thuật.,Năng lực cạnh tranh.,Tư duy hội nhập.,4
"Theo Nghị quyết, nếu “Văn hóa” là sợi chỉ đỏ xuyên suốt, kết nối các Vùng/Khối/Ban chức năng và các Đơn vị thành viên Sun Group thì ""Tư tưởng"" được coi là gì trong việc định hướng phát triển?",Hoa tiêu,Điều kỳ diệu,Sợi chỉ đỏ,Kim chỉ nam,4
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là ""Góp phần nâng cao vị thế đất nước, nâng cao ..., làm đẹp, làm giàu cho Tổ Quốc và đưa Việt Nam trở thành điểm đến hấp dẫn của thế giới."". Từ còn thiếu trong dấu ba chấm là gì?",Vị thế của người Việt Nam,Trí tuệ người Việt Nam,Sức khỏe người Việt Nam,Chất lượng sống của người dân,4
"Trong Triết lý xây dựng văn hóa của Sun Group, yếu tố Hội nhập cho biết Văn hóa Sun Group đã, đang và sẽ tiếp tục được bổ sung các tiêu chí văn hóa nào nhằm đảm bảo sự hội nhập của Sun Group cũng như Người Sun Group với môi trường phát triển năng động, văn minh và hiện đại của thế giới?",Văn hóa hiện đại,Văn hóa nước ngoài,Văn hóa truyền thống,Văn hóa học hỏi,1
"Người Sun Group sẽ luôn khẳng định vai trò Người đứng đầu với tầm nhìn chiến lược, tư duy làm chủ, thể hiện rõ nét tinh thần dám dấn thân, dám nghĩ, dám làm, biết làm và dám chịu trách nhiệm, nội dung này thể hiện vai trò của ai?",Người Việt Nam mới,Lãnh đạo và Quản lý,Quản lý,Lãnh đạo,2
"Nội dung nào sau đây thể hiện giá trị cốt lõi ""Trình độ chuyên môn cao"" đối với Người Sun Group?","Sáng tạo, đổi mới, đảm bảo kết quả công việc đạt hiệu quả cao hơn.",Tuân thủ mọi chuẩn mực của Tập đoàn và hoàn thành mọi nhiệm vụ được giao đúng chất lượng và tiến độ cam kết.,"Có tinh thần yêu nước, tự hào chia sẻ và hành động để gìn giữ những truyền thống của dân tộc Việt Nam.","Tin tưởng vào những việc mình làm, truyền cảm hứng và thúc đẩy người khác làm việc và sống tốt hơn.",1
"Trong vai trò là Lãnh đạo và Quản lý, Người đứng đầu cần thể hiện rõ nét tinh thần tinh thần dám dấn thân, dám nghĩ, dám làm, biết làm và dám chịu trách nhiệm với điều gì?",Quy trình và cách thức triển khai công việc của CBNV,"Nhiệm vụ mình được giao và kết quả của đơn vị, đội nhóm mà mình phụ trách","Năng lực chuyên môn, năng lực lãnh đạo của bản thân","Năng lực chuyên môn, năng suất lao động của CBNV",2
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là Góp phần nâng cao vị thế đất nước, nâng cao chất lượng sống của người dân, làm đẹp, làm giàu cho Tổ quốc và đưa Việt Nam trở thành điểm đến như thế nào?",Có nhiều công trình kỷ lục thế giới.,Hấp dẫn nhất thế giới.,Hấp dẫn của thế giới.,Có nhiều công trình ghi dấu ấn vượt thời gian.,3
"Người Sun Group xác định, “Sun Group là tập thể của những người con yêu nước”, theo đó, mỗi cá nhân phấn đấu học hỏi và nâng cấp bản thân, phấn đấu trở thành hình mẫu nào?",Đại sứ Văn hóa Sun Group,Cán bộ nguồn,Người Việt Nam mới,CBLĐ/CBQL cấp 2+,1
"""Người Sun Group không tự mãn với những thành công đã đạt được mà luôn khao khát phá vỡ những kỷ lục của chính mình, luôn đảm bảo chất lượng, đẳng cấp, khác biệt và tính nhân văn trong mọi việc, công trình sau tốt hơn công trình trước""; Đây là nội dung thể hiện yếu tố nào trong Triết lý xây dựng và phát triển văn hóa của Sun Group?",Bản sắc,Lan tỏa,Hội nhập,Kế thừa,1
"Nội dung sau đây thể hiện yếu tố nào trong Năng lực của Người Sun Group trong thời kì mới? ""Thích nghi, nắm bắt rõ văn hóa quốc gia, vùng miền, tổ chức để gia tăng cơ hội hội nhập; Thông hiểu và thuần thục ít nhất một ngoại ngữ thông dụng để nâng cao khả năng hội nhập.""",Năng suất lao động.,Cảm thụ nghệ thuật.,Tư duy hội nhập.,Năng lực cạnh tranh.,3
"Nội dung nào sau đây KHÔNG thể hiện giá trị cốt lõi ""Đẳng cấp"" của Tập đoàn Sun Group?","Tôn trọng và vì con người, mang lại giá trị phục vụ lợi ích, sự phát triển của cộng đồng và Người Sun Group.","Tiên phong kiến tạo những chuẩn mực về sản phẩm/dịch vụ mới mẻ, cao cấp và vượt trội hơn những chuẩn mực mà thị trường đang có.","Sản phẩm/dịch vụ sang trọng, có tính thẩm mỹ, ý nghĩa sâu sắc, giá trị kinh tế, giá trị sử dụng vượt trội so với thị trường chung trong lĩnh vực hoạt động, được công nhận bởi các tổ chức quốc tế có uy tín và được sự ghi nhận, trân trọng của cộng đồng trong nước và quốc tế.","Táo bạo tìm kiếm những cơ hội để làm vượt trội những gì người khác không làm, không dám làm hoặc không thể làm.",4
"Nội dung sau đây thể hiện yếu tố nào trong Phẩm chất của Người Sun Group trong thời kì mới? ""Sống ngay thẳng, trung thực, lương thiện, yêu thương và quan tâm chân thành đến những người xung quanh.""",Nhân cách tốt,Nhân văn,Khiêm nhường,Yêu nước,1
Nội dung nào sau đây thể hiện một trong các yếu tố về Phẩm chất của Người Sun Group trong thời kì mới?,"Có tinh thần yêu nước, tự hào chia sẻ và hành động để gìn giữ những truyền thống của dân tộc Việt Nam: đoàn kết, cần cù, tiết kiệm, chịu khó, cầu tiến, ham học hỏi.","Lạc quan, tích cực, luôn tràn đầy hi vọng, niềm vui và hạnh phúc.","Tìm hiểu, lựa chọn thưởng thức nhằm nâng cao khả năng cảm thụ về các loại hình nghệ thuật.","Khỏe mạnh về thể chất, có sức bền, sự dẻo dai, chịu được áp lực công việc cao, có thói quen rèn luyện thể dục thể thao đều đặn.",1
"""Người Sun Group không tự mãn với những thành công đã đạt được mà luôn khao khát phá vỡ những kỷ lục của chính mình, luôn đảm bảo chất lượng, đẳng cấp, khác biệt và tính nhân văn trong mọi việc, công trình sau tốt hơn công trình trước""; Đây là nội dung thể hiện yếu tố nào trong Triết lý xây dựng và phát triển văn hóa của Sun Group?",Bản sắc,Hội nhập,Lan tỏa,Kế thừa,1
"Người Sun Group luôn có thái độ chia sẻ, hỗ trợ và thẳng thắn góp ý trên tinh thần xây dựng; tự hào, hạnh phúc với thành công của đồng nghiệp và cấp dưới bởi Người Sun Group hiểu rõ điều gì?",Hạt giống tốt chỉ nảy mầm và phát triển khi có môi trường thuận lợi,Thành công của đồng nghiệp cũng là thành công của bản thân mình và là thành công chung của cả Tập đoàn,"Ngước lên cao để thấy mình còn thấp, nhìn xuống thấp để biết mình chưa cao","Không có công việc tầm thường, chỉ có con người tầm thường",2
"Nội dung nào sau đây thể hiện giá trị cốt lõi ""Đẳng cấp"" của Tập đoàn Sun Group?","Tiên phong đi đầu, dám nhận và chịu trách nhiệm đến cùng nhiệm vụ được giao","Hướng đến sự độc đáo riêng có hoặc hiếm có, khó có thể sao chép được trong sản phẩm/dịch vụ","Phát triển hướng tới những thế hệ mai sau, nuôi dưỡng và gìn giữ môi trường sống ổn định, xanh, sạch và văn minh","Tiên phong kiến tạo những chuẩn mực về sản phẩm/dịch vụ mới mẻ, cao cấp và vượt trội hơn những chuẩn mực mà thị trường đang có",4
"Nội dung sau đây thể hiện giá trị cốt lõi nào đối với Tập đoàn Sun Group: ""Sản phẩm/dịch vụ được công nhận bởi các tổ chức quốc tế có uy tín và được sự ghi nhận, trân trọng của cộng đồng trong nước và quốc tế""?",Chất lượng,Đẳng cấp,Khác biệt,Không thể hiện giá trị cốt lõi nào đối với Tập đoàn,2
"""Hiền tài của Sun Group là những người hiểu được trách nhiệm và sự đóng góp của bản thân đối với sự thành công và lớn mạnh của Sun Group. Do đó, họ chủ động học hỏi, nỗ lực hoàn thiện bản thân và luôn xem sự trưởng thành liên tục của bản thân là yếu tố nền tảng và thước đo cho sự bền vững của tập thể, của Sun Group, của cộng đồng và của đất nước Việt Nam."" Đây là nội dung nào trong Triết lý về Người Sun Group?",Tài,Nhiệt tâm,Làm gương và lan tỏa,Hiền,1
"Theo Triết lý về Người Sun Group, Hiền Tài của Sun Group thể hiện tinh thần làm gương và lan tỏa thông qua điều gì?","Luôn hành động theo những giá trị cốt lõi của Người Sun Group, tự hào làm gương, chia sẻ niềm tin, lan tỏa giá trị của Sun Group tới đồng nghiệp và là nguồn cảm hứng cho đồng nghiệp","Vượt trội trong năng lực chuyên môn, hướng đến đa năng, có thể làm nhiều việc với hiệu quả cao","Luôn sống lạc quan, tích cực, tràn đầy hi vọng, niềm vui và hạnh phúc","Nhiệt huyết, quyết tâm, dấn thân và chịu trách nhiệm đến cùng với công việc mình được giao; đồng thời luôn phối hợp tốt với đồng nghiệp",1
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là ""Góp phần nâng cao vị thế đất nước, nâng cao ..., làm đẹp, làm giàu cho Tổ Quốc và đưa Việt Nam trở thành điểm đến hấp dẫn của thế giới."". Từ còn thiếu trong dấu ba chấm là gì?",Sức khỏe người Việt Nam,Trí tuệ người Việt Nam,Chất lượng sống của người dân,Vị thế của người Việt Nam,3
"“Văn hóa Sun Group đã, đang và sẽ tiếp tục được bổ sung các tiêu chí văn hóa hiện đại, nhằm đảm bảo sự hội nhập của Sun Group cũng như Người Sun Group với môi trường phát triển năng động, văn minh và hiện đại của thế giới.” Đây là nội dung của yếu tố văn hóa nào của Sun Group?",Hội nhập,Lan tỏa,Bản sắc,Kế thừa,1
"""Chất lượng - Đẳng cấp - Khác biệt"" thể hiện nội dung gì trong Tư tưởng - Văn hóa Sun Group?",Sứ mệnh Sun Group.,Giá trị cốt lõi đối với Tập đoàn Sun Group.,Lý tưởng Sun Group.,Tầm nhìn Sun Group.,2
Nội dung nào sau đây thể hiện yếu tố Lan tỏa trong Triết lý xây dựng văn hóa của Sun Group?,Người Sun Group luôn chủ động lan tỏa các giá trị tốt đẹp đó tới đồng nghiệp để cùng nhau xây dựng tập thể Người Sun Group là đại diện của Người Việt Nam mới,"Không chỉ lan tỏa các giá trị tốt đẹp trong nội bộ Tập đoàn mà bằng những hành động cụ thể, góp phần lan tỏa những giá trị văn hóa tới đối tác, cộng đồng, hướng tới mục tiêu xây dựng xã hội ngày một tốt đẹp và nhân văn hơn","Góp phần nâng cao vị thế đất nước, nâng cao chất lượng sống của người dân, làm đẹp, làm giàu cho Tổ quốc","Tiên phong trong việc xây dựng văn hóa du lịch: văn minh, chuyên nghiệp và nhân văn ở Việt Nam",2
"Trong Triết lý xây dựng văn hóa của Sun Group, yếu tố Hội nhập cho biết Văn hóa Sun Group đã, đang và sẽ tiếp tục được bổ sung các tiêu chí văn hóa nào nhằm đảm bảo sự hội nhập của Sun Group cũng như Người Sun Group với môi trường phát triển năng động, văn minh và hiện đại của thế giới?",Văn hóa nước ngoài,Văn hóa hiện đại,Văn hóa truyền thống,Văn hóa học hỏi,2
