question,option1,option2,option3,option4,answer
"""Người Sun Group sẽ luôn khẳng định vai trò Người đứng đầu với tầm nhìn chiến lược, tư duy làm chủ, thể hiện rõ nét tinh thần dám dấn thân, dám nghĩ, dám làm, biết làm và dám chịu trách nhiệm"", nội dung này thể hiện vai trò của ai?",Người Việt Nam mới,Lãnh đạo,Lãnh đạo và Quản lý,Quản lý,3
Nội dung nào sau đây thể hiện một trong các yêu cầu về Năng lực cạnh tranh của Người Sun Group trong thời kì mới?,"Tiên phong sáng tạo, đổi mới, tạo ra những lợi thế cạnh tranh độc đáo, khác biệt cho Việt Nam trên cộng đồng quốc tế.","Tìm hiểu, lựa chọn thưởng thức nhằm nâng cao khả năng cảm thụ về các loại hình nghệ thuật.",Thông hiểu và thuần thục ít nhất một ngoại ngữ thông dụng để nâng cao khả năng hội nhập.,"Sống văn minh, cởi mở học hỏi, hoàn thiện bản thân để theo kịp với thời cuộc và sự phát triển của tổ chức, của xã hội.",1
Nội dung nào sau đây thể hiện Tư duy hội nhập của Người Sun Group trong thời kì mới?,"Có năng suất lao động cao, ngang bằng nước tiên tiến nhất trong khu vực Đông Nam Á.","Thích nghi, nắm bắt rõ văn hóa quốc gia, vùng miền, tổ chức để gia tăng cơ hội hội nhập.","Có lối sống lành mạnh, không hút thuốc, hạn chế rượu bia, biết thụ hưởng và cân bằng công việc và cuộc sống.","Có khả năng lan tỏa, truyền cảm hứng và gắn kết sức mạnh của đội ngũ.",2
"Sun Group hướng tới xây dựng môi trường là nơi đến để sống, nơi luôn mang lại nguồn cảm hứng, sự yêu đời, yêu người cho mỗi Người Sun Group như câu thơ đầy ý nghĩa nào?",Hạt giống tốt chỉ nảy mầm và phát triển khi có môi trường thuận lợi.,"Ngước lên cao để thấy mình còn thấp, nhìn xuống thấp để biết mình chưa cao.",Hạnh phúc của Người Sun Group là trên những chặng đường cống hiến chứ không chỉ là đích đến.,"Cám ơn đời mỗi sớm mai thức dậy, ta có thêm ngày mới để yêu thương.",4
"Người Sun Group luôn sống khiêm nhường, thực chất, giản dị với triết lý nào?",Thành công của đồng nghiệp cũng là thành công của bản thân mình và là thành công chung của cả Tập đoàn.,Hạt giống tốt chỉ nảy mầm và phát triển khi có môi trường thuận lợi.,Hạnh phúc của Người Sun Group là trên những chặng đường cống hiến chứ không chỉ là đích đến.,"Ngước lên cao để thấy mình còn thấp, nhìn xuống thấp để biết mình chưa cao.",4
Yêu cầu về Năng lực (Kiến thức – Kỹ năng – Kinh nghiệm) của Người Sun Group trong thời kì mới bao gồm những yếu tố nào?,Năng lực cạnh tranh - Tư duy hội nhập - Cảm thụ nghệ thuật.,Nhân cách tốt - Ý thức tốt - Sức khỏe tốt.,Năng lực cạnh tranh - Năng suất lao động - Tư duy hội nhập - Ý thức vì cộng đồng - Cảm thụ nghệ thuật.,Năng suất lao động cao - Sức khỏe tốt - Biết cảm nhận nghệ thuật.,3
"Trong nội dung Đối với tập thể Người Sun Group, Người Sun Group xác định điều gì để theo đó, mỗi cá nhân phấn đấu học hỏi và nâng cấp bản thân, phấn đấu trở thành Đại sứ Văn hóa Sun Group, khẳng định tình yêu với Tập đoàn và niềm tự hào khi là thành viên của tập thể Sun Group, tập thể với lý tưởng cao đẹp đang góp phần xây dựng hình ảnh Người Việt Nam mới trong lao động, đóng góp cho sự phát triển của đất nước?","Không có công việc tầm thường, chỉ có con người tầm thường.",Phấn đấu trở thành “Hiền tài” thay vì “Người tài”.,Sun Group không giữ người bằng tiền và không đón nhận những người đến với Tập đoàn chỉ vì tiền.,Sun Group là tập thể của những người con yêu nước.,4
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là tìm đến những vùng đất giàu tiềm năng nhưng chưa được khai thác đúng tầm, làm thay đổi những vùng đất ấy, kiến tạo và đóng góp cho xã hội những công trình, sản phẩm/dịch vụ thế nào?",Chất lượng vượt trội.,Đẳng cấp chất lượng vượt trội và trường tồn theo thời gian.,Ghi dấu ấn vượt thời gian.,"Đẳng cấp, chất lượng, khác biệt.",2
"CBLĐ/CBQL Sun Group bên cạnh việc là tấm gương về tinh thần kỷ luật, thể hiện rõ nét vai trò/trách nhiệm của người đứng đầu; biết lắng nghe, khích lệ, truyền cảm hứng để đội ngũ cùng chung vai góp sức đạt mục tiêu chung thì còn cần thể hiện điều gì?",Là tấm gương về năng lực chuyên môn vượt trội để có thể hướng dẫn cho nhân viên những kỹ thuật sâu trong chuyên môn mà nhân viên chưa giỏi,"Là niềm tin - chỗ dựa cho nhân viên, bao bọc cho nhân viên nếu mắc lỗi sai; động viên đội ngũ khi nỗ lực hết sức mà kết quả chưa tốt",Là chỗ dựa cho nhân viên - lực đẩy cho sự phát triển của tổ chức,"Là niềm tin - chỗ dựa cho nhân viên, luôn thể hiện sự nhân văn, yêu thương với CBNV trong mọi hoàn cảnh",3
"Nội dung nào sau đây thể hiện giá trị cốt lõi ""Khác biệt"" của Tập đoàn Sun Group?",Sản phẩm/dịch vụ nhận được sự ghi nhận và trân trọng của cộng đồng trong nước và quốc tế.,"Góp phần nâng cao vị thế đất nước, nâng cao chất lượng sống của người dân, làm đẹp, làm giàu cho Tổ quốc.","Hướng đến sự độc đáo riêng có hoặc hiếm có, khó có thể sao chép được trong sản phẩm/dịch vụ.",Đảm bảo chất lượng sản phẩm và dịch vụ hướng đến chuẩn mực quốc tế và bền vững với thời gian.,3
"Trong nội dung Tầm nhìn Sun Group, các lĩnh vực đầu tư chiến lược của Sun Group là gì?","Du lịch nghỉ dưỡng, Vui chơi giải trí, Bất động sản, Đầu tư hạ tầng","Du lịch nghỉ dưỡng, Vui chơi giải trí, Bất động sản, Dịch vụ y tế","Du lịch nghỉ dưỡng, Vui chơi giải trí, Bất động sản, Tài chính Ngân hàng","Du lịch nghỉ dưỡng, Vui chơi giải trí, Bất động sản, Biểu diễn Nghệ thuật",1
"Bên cạnh các yếu tố: Kế thừa - Hội nhập - Bản sắc, Văn hóa Sun Group còn kiên định với yếu tố nào?",Trung thực,Lan tỏa,Nhân văn,Nhiệt tâm,2
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là tìm đến những vùng đất như thế nào để làm thay đổi những vùng đất ấy?","Giàu tiềm năng và đã được nhiều doanh nghiệp khai thác, phát triển mạnh mẽ","Các thành phố lớn, điều kiện hạ tầng tốt để thuận tiện phát triển các hoạt động kinh doanh","Đang còn nghèo khó, chưa được quan tâm phát triển",Giàu tiềm năng nhưng chưa được khai thác đúng tầm,4
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là gì?","Xây dựng văn hóa du lịch: văn minh, chuyên nghiệp, nhân văn.","Xác định ""Con Người"" là yếu tố căn bản và then chốt tạo ra sự phát triển bền vững của mình.","Luôn nhằm nâng cao vị thế đất nước, nâng cao chất lượng cuộc sống của người dân, làm đẹp, làm giàu cho Tổ Quốc.","Góp phần xây dựng Người Việt Nam mới với phẩm chất, năng lực và sức khỏe bắt kịp thời cuộc.",4
"Nội dung sau đây thể hiện giá trị cốt lõi nào đối với Người Sun Group: ""Tin tưởng vào những việc mình làm, truyền cảm hứng và thúc đẩy người khác làm việc và sống tốt hơn""?",Trình độ chuyên môn cao.,Không thể hiện giá trị cốt lõi nào đối với Người Sun Group.,Nhiệt tâm.,Trung thành và trung thực.,3
"Trong nội dung Tầm nhìn Sun Group, Sun Group tiên phong xây dựng văn hóa du lịch bao gồm những yếu tố gì?","Văn hóa, văn minh, chuyên nghiệp, nhân văn","Bài bản, thân thiện, chuyên nghiệp, nhân văn","Bài bản, văn minh, chuyên nghiệp, lan tỏa","Văn minh, chuyên nghiệp, nhân văn",4
"Trong nội dung Đối với tập thể Người Sun Group, Người Sun Group xác định điều gì để theo đó, mỗi cá nhân phấn đấu học hỏi và nâng cấp bản thân, phấn đấu trở thành Đại sứ Văn hóa Sun Group, khẳng định tình yêu với Tập đoàn và niềm tự hào khi là thành viên của tập thể Sun Group, tập thể với lý tưởng cao đẹp đang góp phần xây dựng hình ảnh Người Việt Nam mới trong lao động, đóng góp cho sự phát triển của đất nước?","Không có công việc tầm thường, chỉ có con người tầm thường.",Phấn đấu trở thành “Hiền tài” thay vì “Người tài”.,Sun Group không giữ người bằng tiền và không đón nhận những người đến với Tập đoàn chỉ vì tiền.,Sun Group là tập thể của những người con yêu nước.,4
"Đối với triết lý Xây dựng và phát triển văn hóa, Sun Group kiên định với các yếu tố nào?",Chất lượng; Đẳng cấp; Khác biệt,Trung thành và Trung thực; Nhiệt tâm; Trình độ chuyên môn cao,Yêu nước; Hài hòa; Lan tỏa,Kế thừa; Hội nhập; Bản sắc; Lan tỏa,4
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là tìm đến những vùng đất giàu tiềm năng nhưng chưa được khai thác đúng tầm, làm thay đổi những vùng đất ấy, kiến tạo và đóng góp cho xã hội những công trình, sản phẩm/dịch vụ thế nào?",Chất lượng vượt trội.,Đẳng cấp chất lượng vượt trội và trường tồn theo thời gian.,Ghi dấu ấn vượt thời gian.,"Đẳng cấp, chất lượng, khác biệt.",2
Nội dung nào sau đây KHÔNG PHẢI là triết lý hoạt động của Sun Group?,Triết lý về sự hài hòa,Triết lý về sự nhân văn,Triết lý về lòng yêu nước,"Triết lý ""Đứng trên vai người khổng lồ""",2
"Nội dung nào sau đây thể hiện triết lý ""Đứng trên vai người khổng lồ"" của Sun Group?","Đảm bảo sự phát triển của mình luôn có sự đồng hành của những Tập đoàn lớn, những cá nhân có tên tuổi và uy tín, các công trình luôn gắn với các thương hiệu lớn trên thế giới.","Đảm bảo sự phát triển của mình luôn có sự đồng hành của những người nổi tiếng, có uy tín trong mọi lĩnh vực trên thế giới.",Đảm bảo sự phát triển của mình luôn có sự đồng hành của các cơ quan nhà nước và các Công ty/Tập đoàn lớn ở Việt Nam.,Đảm bảo sự phát triển của mình luôn có sự đồng hành của những nhân sự tốt nhất thế giới trong các lĩnh vực mình tham gia.,1
Triết lý về Người Sun Group đã định nghĩa rõ về tiêu chí HIỀN và TÀI; theo đó tiêu chí HIỀN được mô tả như thế nào?,"Luôn hành động theo những giá trị cốt lõi của Người Sun Group, tự hào làm gương, chia sẻ niềm tin, lan tỏa giá trị của Sun Group tới đồng nghiệp","Sống văn minh, cởi mở học hỏi, hoàn thiện bản thân để theo kịp với thời cuộc và sự phát triển của tổ chức, của xã hội","Vừa sống khiêm nhường, trung thực, tự trọng vừa hết lòng hỗ trợ, động viên đồng nghiệp với tinh thần trách nhiệm vì tập thể và vì cộng đồng","Vượt trội trong năng lực chuyên môn, hướng đến đa năng, có thể làm nhiều việc với hiệu quả cao",3
"Với tôn chỉ phát triển bền vững, một trong những tầm nhìn của Sun Group là phấn đấu trở thành một trong những Tập đoàn kinh tế tư nhân Việt Nam như thế nào?",Tập đoàn kinh tế tư nhân đứng đầu Việt Nam,Tập đoàn phát triển bền vững,Có quy mô và đẳng cấp quốc tế,Tập đoàn kinh tế tư nhân Việt Nam có vốn hóa hàng đầu trên thị trường chứng khoán.,3
"Thể hiện Giá trị cốt lõi Đẳng cấp, Sun Group tiên phong kiến tạo những chuẩn mực như thế nào về sản phẩm/dịch vụ?",Hướng đến chuẩn mực chung của thị trường,"Độc đáo riêng có hoặc hiếm có, khó có thể sao chép được trong sản phẩm/dịch vụ","Mới mẻ, cao cấp và vượt trội hơn những chuẩn mực mà thị trường đang có","Gắn với sự phát triển bền vững, gìn giữ môi trường sống ổn định, xanh, sạch và văn minh",3
"Với các nhiệm vụ được giao dù có khó khăn, thách thức; mỗi thành viên Sun Group cần thể hiện tinh thần Nhiệt tâm của mình thế nào?","Tin tưởng tuyệt đối, sẵn sàng đấu tranh và hy sinh lợi ích cá nhân để theo đuổi lý tưởng và khát vọng của Tập đoàn.","Tiên phong đi đầu, dám nhận và chịu trách nhiệm đến cùng nhiệm vụ được giao.","Sáng tạo, đổi mới, đảm bảo kết quả công việc đạt hiệu quả cao hơn.",Tuân thủ mọi chuẩn mực của Tập đoàn và hoàn thành mọi nhiệm vụ được giao đúng chất lượng và tiến độ cam kết.,2
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là ""Góp phần nâng cao vị thế đất nước, nâng cao ..., làm đẹp, làm giàu cho Tổ Quốc và đưa Việt Nam trở thành điểm đến hấp dẫn của thế giới."". Từ còn thiếu trong dấu ba chấm là gì?",Trí tuệ người Việt Nam,Sức khỏe người Việt Nam,Chất lượng sống của người dân,Vị thế của người Việt Nam,3
Nội dung nào sau đây là một trong những yêu cầu đối với Lãnh đạo và Quản lý Sun Group?,"Người Sun Group luôn cho rằng “Không có công việc tầm thường, chỉ có con người tầm thường”; thành công chung của Tập đoàn được đóng góp từ tất cả các cá nhân ở mọi vị trí.",Thành công của đồng nghiệp cũng là thành công của bản thân mình và là thành công chung của cả Tập đoàn.,"Luôn khẳng định vai trò Người đứng đầu với tầm nhìn chiến lược, tư duy làm chủ, thể hiện rõ nét tinh thần dám dấn thân, dám nghĩ, dám làm, biết làm và dám chịu trách nhiệm.","Sun Group hướng tới xây dựng môi trường là nơi đến để sống, nơi luôn mang lại nguồn cảm hứng, sự yêu đời, yêu người cho mỗi Người Sun Group.",3
"Nội dung nào sau đây thể hiện giá trị cốt lõi ""Trung thành và trung thực"" đối với Người Sun Group?","Tin tưởng tuyệt đối, sẵn sàng đấu tranh và hy sinh lợi ích cá nhân để theo đuổi lý tưởng và khát vọng của Tập đoàn","Tin tưởng vào những việc mình làm, truyền cảm hứng và thúc đẩy người khác làm việc và sống tốt hơn","Chủ động học hỏi, nỗ lực hoàn thiện bản thân",Quyết liệt tự phê và phê một cách trực diện những điểm yếu của bản thân và đồng nghiệp để cùng trưởng thành,1
Tôn chỉ về sự phát triển của Sun Group là gì?,Phát triển nhanh mạnh và dẫn đầu mọi lĩnh vực đầu tư mà Sun Group tham gia,Phát triển bền vững,"Phát triển nhanh, mạnh và hài hòa",Phát triển hài hòa,2
Nội dung nào sau đây thể hiện yêu cầu về Năng lực cảm thụ nghệ thuật của Người Sun Group trong thời kì mới?,"Hiểu, cập nhật và tận dụng những thay đổi về công nghệ của thế giới vào các hoạt động sống và làm việc.","Thích nghi, nắm bắt rõ văn hóa quốc gia, vùng miền, tổ chức để gia tăng cơ hội hội nhập.","Có năng suất lao động cao, ngang bằng nước tiên tiến nhất trong khu vực Đông Nam Á.","Tìm hiểu, lựa chọn thưởng thức nhằm nâng cao khả năng cảm thụ về các loại hình nghệ thuật.",4
"Trong triết lý về Người Sun Group,""Hiền tài"" của Sun Group được định nghĩa là người như thế nào?","Là những người có thể chất khỏe mạnh, tinh thần khỏe mạnh, lối sống lành mạnh","Là những người ""vừa hồng vừa chuyên"" - vừa có đức vừa có tài - vừa có nhân cách tốt vừa có năng lực chuyên môn giỏi","Là những người ""vừa hồng vừa chuyên"" - vừa có nhân cách đạo đức tốt, vừa có lối sống lành mạnh","Là những người ""vừa hồng vừa chuyên"" - vừa có lý tưởng vừa có năng lực cạnh tranh và lối sống khiêm nhường",2
"Nội dung sau đây thể hiện yếu tố nào trong Năng lực của Người Sun Group trong thời kì mới? ""Thích nghi, nắm bắt rõ văn hóa quốc gia, vùng miền, tổ chức để gia tăng cơ hội hội nhập; Thông hiểu và thuần thục ít nhất một ngoại ngữ thông dụng để nâng cao khả năng hội nhập.""",Năng lực cạnh tranh.,Cảm thụ nghệ thuật.,Tư duy hội nhập.,Năng suất lao động.,3
"Trong nội dung về Lý tưởng Sun Group dưới đây, từ còn thiếu trong dấu ba chấm là gì? ""Lý tưởng của Sun Group là cùng chung một con thuyền, cùng người cầm lái đưa Sun Group tới những bến bờ vinh quang bằng những công trình…."".",Ghi dấu ấn vượt thời gian.,"Đẳng cấp, chất lượng, khác biệt.",Có đẳng cấp quốc tế.,Hàng đầu Việt Nam.,1
Người Sun Group phấn đấu trở thành “Hiền Tài” thay vì “Người tài”; đảm bảo hội tụ đủ các giá trị cốt lõi “Trung thành và trung thực – Nhiệt tâm – Trình độ chuyên môn cao” và cần thể hiện điều gì?,"Thể hiện khả năng lan tỏa, truyền cảm hứng mọi lúc, mọi nơi",Thể hiện các giá trị cốt lõi bằng hành vi cụ thể,"Thể hiện tinh thần sẻ chia, thông cảm với các hạn chế và yếu điểm của đồng nghiệp",Thể hiện khả năng cảm thụ về các loại hình nghệ thuật,2
"Từ còn thiếu trong dấu ba chấm sau đây là gì? ""Triết lý ….: đảm bảo cho sự phát triển của mình luôn có sự đồng hành của những tập đoàn lớn, những cá nhân có tên tuổi và uy tin, các công trình luôn gắn với các thương hiệu lớn trên thế giới.""",Phát triển bền vững,Về sự hài hòa,Đứng trên vai người khổng lồ,Về lòng yêu nước,3
"Khách sạn Capella Hà Nội có bao nhiêu phòng, các phòng được đặt tên theo nguyên tắc nào?","47 phòng, được đặt tên theo các huyền thoại lừng danh thế giới","58 phòng, được đặt tên theo các công trình nổi tiếng thế giới","30 phòng, được đặt tên theo các thành phố lớn trên thế giới","65 phòng, được đặt tên theo các ngôi sao thể thao thế giới",1
Cáp treo nữ hoàng là công trình thuộc công viên nào của Khối Sun World?,Asia Park,Sun World Bà Nà Hills,Sun World Ha Long,Sun World Fansipan Legend,3
Dự án nào giành được giải thưởng Dự án tái phát triển đô thị tốt nhất Việt Nam tại Giải thưởng BĐS Châu Á Thái Bình Dương (APPA) 2023?,Sun Grand Marina Town,Sun Beauty Onsen,Sunneva Island,Sun Tropical Village,3
"Khi thiết kế khách sạn này, Bill Bensley đã hình dung khách sạn như một quán trọ nhỏ, chào đón các ca sĩ opera, nghệ sĩ, nhà soạn nhạc, nhà thiết kế… đến thăm và nghỉ lại trước hoặc sau đêm diễn; đó là khách sạn nào?",Capella Hanoi,JW Marriott Phu Quoc Emerald Bay Resort,Novotel Danang Premier Han River,Hotel de la Coupole - MGallery Sapa,1
"Ngày 23/11/2023 vừa qua, Sun Group lần thứ 4 liên tiếp được nhận được giải thưởng nào?",TOP 100 Nơi làm việc tốt nhất Đông Nam Á,TOP 100 Nơi làm việc tốt nhất Châu Á,Doanh nghiệp bất động sản có môi trường làm việc tốt nhất,TOP 100 Nơi làm việc tốt nhất Việt Nam,4
Nội dung nào sau đây mô tả đúng nhất về Hotel de la Coupole – Mgallery?,Được thiết kế như một bảo tàng nghệ thuật,Mang phong cách của một nhà hát Opera những năm 1920,Khu nghỉ dưỡng và spa đẳng cấp quốc tế được vị kiến trúc sư lừng danh Bill Bensley thiết kế dựa trên ý tưởng về một ngôi trường đại học giả tưởng từ thế kỷ 19,Là sự hoà quyện của sắc màu dân tộc thiểu số cùng sự quyến rũ của thời trang những năm 1920-1930 với phong cách Pháp Thượng Lưu,4
"Thương hiệu nào ra mắt năm 2017 quy tụ các Công viên, tổ hợp vui chơi giải trí của Sun Group?",Sun Hospitality,Sun Property,Sun PMC,Sun World,4
Cầu Vàng - cây cầu đi bộ ấn tượng nhất thế giới được ra mắt vào thời gian nào?,2018,2017,2019,2016,1
"Năm 2009 Sun Group khánh thành tuyến cáp treo đầu tiên, tuyến cáp treo này thuộc khu khu du lịch nào?",Sun World Ba Na Hills,Sun World Ha Long Complex,Sun World Phu Quoc,Sun World Ba Den Mountain,1
"Cầu Vàng - biểu tượng du lịch Việt Nam, Kỳ quan mới của Thế giới nằm trong quần thể khu vui chơi giải trí nào của Sun Group?",Sun World Phu Quoc,Sun World Ha Long Complex,Sun World Ba Den Mountain,Sun World Ba Na Hills,4
Hệ thống cáp treo tại Sun World Ha Long đạt kỷ lục thế giới với cabin có sức chứa lớn nhất thế giới với bao nhiêu người?,170 người,200 người,150 người,230 người,4
"Năm 2023, Cầu Vàng - biểu tượng du lịch Việt Nam, Kỳ quan mới của Thế giới kỷ niệm bao nhiêu năm ngày ra mắt?",6 năm,5 năm,4 năm,7 năm,2
Lãnh đạo Sun Group chính thức mở rộng hoạt động đầu tư tại Việt Nam từ năm nào?,2005,2007,2006,2004,2
"Thương hiệu Sun Hospitality Group quy tụ các khách sạn, khu nghỉ dưỡng của Sun Group được ra mắt vào thời gian nào?",2017,2020,2018,2019,3
"Ra mắt năm 2023 tại Sun World Fansipan Legend, không gian văn hóa - nơi hội tụ tinh hoa văn hóa Tây Bắc có tên là gì?",Cầu Mây,Bản Mây,Hàm Rồng,Thung lũng hoa hồng,2
Dự án nào giành được giải thưởng Dự án BĐS nghỉ dưỡng có kiến trúc tốt nhất Việt Nam tại Giải thưởng BĐS Châu Á Thái Bình Dương (APPA) 2023?,Sun Beauty Onsen,Sun Secret Valley Phú Quốc,Sun Tropical Village,Sun Grand Boulevard,1
"Công trình nào do Bill Bensley thiết kế là nơi tái hiện, lưu giữ những nét độc đáo nhất của phong cách nghệ thuật Mid Century Modern giữa thế kỷ 20?",InterContinental Sun Peninsula Resort,Hotel de la Coupole - MGallery,JW Marriott Emerald Bay Resort,Sun Signature Gallery,4
"Năm 2023, Sun World Fansipan Legend được vinh danh ở hạng mục giải thưởng nào của World Travel Awards?",Điểm du lịch văn hóa hàng đầu Việt Nam,Công viên chủ đề hàng đầu Việt Nam,Điểm đến du lịch tâm linh hàng đầu thế giới,Điểm đến du lịch giải trí hàng đầu thế giới,1
"Được thiết kế bởi Luke Donald và quản lý bởi Tập đoàn IMG, Bana Hills Golf Club đang vận hành sân golf có bao nhiêu lỗ?",38,36,18,40,3
Câu chuyện về khách sạn La Festa Phú Quốc lấy cảm hứng từ câu chuyện gì?,Cảm hứng từ cuộc đời của một ca sĩ hát opera,Cảm hứng từ truyện cổ tích Lọ Lem,Cảm hứng từ cuộc du hành vượt thời gian,Cảm hứng từ cuộc hành trình của 1 thương nhân buôn đồ gốm,4
Thị trấn Hoàng hôn - Sunset Town tại Phú Quốc được mệnh danh là thị thấn của điều gì?,Lãng mạn và Yên bình,Sáng tạo và Màu sắc,Tình yêu và Nghệ thuật,Khác biệt và Đẳng cấp,3
"Năm 2018, Sun Group khai trương 03 công trình giao thông Không - Thủy - Bộ tại Quảng Ninh là những công trình nào?",- Tuyến Cáp treo Cát Hải - Phù Long - Khu Nghỉ dưỡng Premier Village Ha Long Bay - Cảng Hàng không Quốc tế Vân Đồn,- Cảng Hàng không Quốc tế Vân Đồn - Cảng tàu khách Quốc tế Hạ Long - Đường cao tốc Hạ Long - Vân Đồn,- Cảng Hàng không Quốc tế Vân Đồn - Cảng tàu khách Quốc tế Hạ Long - Tuyến cao tốc Vân Đồn - Móng Cái,- Cảng Hàng không Quốc tế Cát Bà - Tuyến Cáp treo Cát Hải - Phù Long - Tuyến cao tốc Hạ Long - Vân Đồn,2
